,concept,label,2025-12-31 (Q1),2024-12-31 (Q1),level,abstract,dimension
0,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Contract Revenue,511959000.0,439968000.0,3,False,False
1,us-gaap_CostsAndExpensesAbstract,Operating expenses:,,,3,False,False
2,us-gaap_CostOfRevenue,Total Cost of Revenue,87261000.0,87345000.0,4,False,False
3,us-gaap_ResearchAndDevelopmentExpense,Research and Development Expense,49912000.0,45145000.0,4,False,False
4,us-gaap_SellingGeneralAndAdministrativeExpense,"Selling, General and Administrative Expense",140737000.0,127950000.0,4,False,False
5,us-gaap_CostsAndExpenses,Costs and Expenses,-277910000.0,-260440000.0,4,False,False
6,us-gaap_OperatingIncomeLoss,Operating Income,234049000.0,179528000.0,3,False,False
7,us-gaap_InterestExpenseNonoperating,Interest Expense (non-operating),-42006000.0,-29488000.0,3,False,False
8,us-gaap_OtherNonoperatingIncomeExpense,"Other income (expense), net",-112000.0,89000.0,3,False,False
9,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Income Before Tax from Continuing Operations,191931000.0,150129000.0,3,False,False
10,us-gaap_IncomeTaxExpenseBenefit,Income Tax Expense,-33558000.0,2399000.0,3,False,False
11,us-gaap_NetIncomeLoss,Net Income,158373000.0,152528000.0,3,False,False
12,us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecreaseAbstract,Other comprehensive loss:,,,3,False,False
13,us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,Foreign currency translation adjustments,-67000.0,-16054000.0,4,False,False
14,us-gaap_ComprehensiveIncomeNetOfTax,Comprehensive income,158306000.0,136474000.0,3,False,False
15,us-gaap_EarningsPerShareAbstract,Earnings Per Share,,,3,False,False
16,us-gaap_EarningsPerShareBasic,Earnings Per Share (Basic),6.68,6.26,4,False,False
17,us-gaap_EarningsPerShareDiluted,Earnings Per Share (Diluted),6.61,6.14,4,False,False
18,us-gaap_WeightedAverageNumberOfSharesOutstandingDilutedDisclosureItemsAbstract,Shares used in computing earnings per share:,,,3,False,False
19,us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,Shares Outstanding (Basic),23723000.0,24378000.0,4,False,False
20,us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,Shares Outstanding (Diluted),23958000.0,24827000.0,4,False,False
