concept,label,2020-12-31,2021-12-31,2022-12-31,2023-12-31,2024-12-31,2025-12-31
us-gaap_Revenues,Net revenues and financial income,,,10780000000.0,15107000000.0,20777000000.0,28893000000.0
us-gaap_CostOfGoodsAndServicesSold,Cost of net revenues and financial expenses,,,-5582000000.0,-7517000000.0,-11200000000.0,-16035000000.0
us-gaap_GrossProfit,Gross profit,1709000000.0,3005000000.0,5198000000.0,7590000000.0,9577000000.0,12858000000.0
us-gaap_ResearchAndDevelopmentExpense,Product and technology development,-353000000.0,-590000000.0,-1099000000.0,-1831000000.0,-1934000000.0,-2269000000.0
us-gaap_SellingAndMarketingExpense,Sales and marketing,-768000000.0,-1074000000.0,-1296000000.0,-1736000000.0,-2191000000.0,-3219000000.0
us-gaap_ProvisionForDoubtfulAccounts,Provision for doubtful accounts,-133000000.0,-435000000.0,-1073000000.0,-1050000000.0,-1858000000.0,-3091000000.0
us-gaap_GeneralAndAdministrativeExpense,General and administrative,-327000000.0,-465000000.0,-661000000.0,-766000000.0,-963000000.0,-1078000000.0
us-gaap_OperatingExpenses,Total operating expenses,-1581000000.0,-2564000000.0,-4129000000.0,-5383000000.0,-6946000000.0,-9657000000.0
us-gaap_OperatingIncomeLoss,Income from operations,128000000.0,441000000.0,1069000000.0,2207000000.0,2631000000.0,3201000000.0
us-gaap_InvestmentIncomeInterest,"Interest income and other financial gains, net",,,,135000000.0,148000000.0,138000000.0
meli_InterestExpenseAndOtherFinancialCharges,Interest expense and other financial losses,-107000000.0,-229000000.0,-135000000.0,-174000000.0,-165000000.0,-160000000.0
us-gaap_ForeignCurrencyTransactionLossBeforeTax,"Foreign currency losses, net",,,,-615000000.0,-182000000.0,-337000000.0
us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Net income before income tax expense and equity in earnings of unconsolidated entity,,241000000.0,780000000.0,1553000000.0,2432000000.0,2842000000.0
us-gaap_IncomeTaxExpenseBenefit,Income tax expense,-82000000.0,-149000000.0,-298000000.0,-569000000.0,-521000000.0,-845000000.0
meli_EquityInEarningsLossOfUnconsolidatedEntityNetOfTax,Equity in earnings of unconsolidated entity,,,-0.0,3000000.0,-0.0,-0.0
us-gaap_NetIncomeLoss,Net income,,83000000.0,482000000.0,987000000.0,1911000000.0,1997000000.0
us-gaap_EarningsPerShareBasic,Basic net income available to shareholders per common share (in dollars per share),,1.67,9.57,19.64,37.69,39.4
us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,Weighted average of outstanding common shares (in shares),49740407.0,49802993.0,50345353.0,50262302.0,50697428.0,50697299.0
us-gaap_EarningsPerShareDiluted,Diluted net income available to shareholders per common share (in dollars per share),,1.67,9.53,19.46,37.69,39.4
us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,Weighted average of outstanding common shares (in shares),49740407.0,49802993.0,51335621.0,51006860.0,50697428.0,50697320.0
us-gaap_ForeignCurrencyTransactionGainLossBeforeTax,"Foreign currency losses, net",-43000000.0,-109000000.0,-198000000.0,-615000000.0,-182000000.0,
meli_EquityInEarningsOfUnconsolidatedEntityNetOfTax,Equity in earnings of unconsolidated entity,-0.0,-9000000.0,-0.0,3000000.0,,
us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Net revenues,3974000000.0,7069000000.0,10537000000.0,,,
us-gaap_NetIncomeLoss,Net income (loss),-1000000.0,83000000.0,482000000.0,,,
us-gaap_EarningsPerShareDiluted,Available to shareholders per common share - diluted (in dollars per share),-0.08,1.67,9.53,,,
us-gaap_InvestmentIncomeInterest,Interest income and other financial gains,103000000.0,138000000.0,44000000.0,135000000.0,148000000.0,
us-gaap_Revenues,Net revenues,,7069000000.0,10537000000.0,14473000000.0,,
us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Net income before income tax expense,81000000.0,241000000.0,780000000.0,,,
us-gaap_EarningsPerShareBasic,Available to shareholders per common share - basic (in dollars per share),-0.08,1.67,9.57,,,
us-gaap_CostOfGoodsAndServicesSold,Cost of net revenues,-2265000000.0,-4064000000.0,-5374000000.0,-7267000000.0,,
