concept,label,2024-12-31,2025-03-31,2025-06-30,2025-09-30
us-gaap_CashAndCashEquivalentsAtCarryingValue,Cash and cash equivalents,2635000000.0,2977000000.0,3008000000.0,2582000000.0
us-gaap_RestrictedCashAndCashEquivalentsAtCarryingValue,Restricted cash and cash equivalents,2064000000.0,1521000000.0,3880000000.0,6617000000.0
us-gaap_ShortTermInvestments,Short-term investments,4485000000.0,5082000000.0,4634000000.0,3715000000.0
us-gaap_AccountsReceivableNetCurrent,"Accounts receivable, net",255000000.0,261000000.0,313000000.0,298000000.0
us-gaap_ReceivablesFromCustomers,"Credit card receivables and other means of payments, net",5288000000.0,5532000000.0,6552000000.0,6648000000.0
us-gaap_NotesAndLoansReceivableNetCurrent,"Loans receivable, net of allowances of $2,762 and $1,630",4716000000.0,,,7810000000.0
us-gaap_InventoryNet,Inventories,296000000.0,358000000.0,434000000.0,532000000.0
us-gaap_OtherAssetsCurrent,Other assets,403000000.0,508000000.0,634000000.0,593000000.0
us-gaap_AssetsCurrent,Total current assets,20142000000.0,21740000000.0,26062000000.0,28795000000.0
us-gaap_LongTermInvestments,Long-term investments,1203000000.0,1321000000.0,1388000000.0,1336000000.0
us-gaap_NotesAndLoansReceivableNetNoncurrent,"Loans receivable, net of allowances of $68 and $48",179000000.0,,,382000000.0
us-gaap_PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,"Property and equipment, net",1380000000.0,1563000000.0,1799000000.0,2058000000.0
us-gaap_OperatingLeaseRightOfUseAsset,Operating lease right-of-use assets,1098000000.0,1262000000.0,1664000000.0,2042000000.0
us-gaap_Goodwill,Goodwill,149000000.0,155000000.0,160000000.0,161000000.0
us-gaap_IntangibleAssetsNetExcludingGoodwill,"Intangible assets, net",12000000.0,39000000.0,39000000.0,38000000.0
us-gaap_CryptoAssetFairValue,Intangible assets at fair value,49000000.0,53000000.0,69000000.0,78000000.0
us-gaap_DeferredIncomeTaxAssetsNet,Deferred tax assets,802000000.0,968000000.0,1139000000.0,1376000000.0
us-gaap_OtherAssetsNoncurrent,Other assets,182000000.0,356000000.0,351000000.0,425000000.0
us-gaap_AssetsNoncurrent,Total non-current assets,5054000000.0,5942000000.0,6886000000.0,7896000000.0
us-gaap_Assets,Total assets,25196000000.0,27682000000.0,32948000000.0,36691000000.0
us-gaap_AccountsPayableAndAccruedLiabilitiesCurrent,Accounts payable and accrued expenses,3196000000.0,3330000000.0,3875000000.0,4053000000.0
srt_PayablesToCustomers,Funds payable to customers,6954000000.0,7391000000.0,9379000000.0,10567000000.0
meli_AmountsPayableDueToCreditAndDebitCardTransactionsCurrent,Amounts payable due to credit and debit card transactions,1923000000.0,2121000000.0,2556000000.0,2943000000.0
us-gaap_EmployeeRelatedLiabilitiesCurrent,Salaries and social security payable,727000000.0,647000000.0,670000000.0,840000000.0
us-gaap_TaxesPayableCurrent,Taxes payable,525000000.0,487000000.0,766000000.0,888000000.0
us-gaap_LoansPayableCurrent,Loans payable and other financial liabilities,2828000000.0,3569000000.0,3818000000.0,4431000000.0
us-gaap_OperatingLeaseLiabilityCurrent,Operating lease liabilities,241000000.0,284000000.0,344000000.0,401000000.0
us-gaap_OtherLiabilitiesCurrent,Other liabilities,209000000.0,236000000.0,342000000.0,399000000.0
us-gaap_LiabilitiesCurrent,Total current liabilities,16603000000.0,18065000000.0,21750000000.0,24522000000.0
meli_AmountsPayableDueToCreditAndDebitCardTransactionsNonCurrent,Amounts payable due to credit and debit card transactions,41000000.0,64000000.0,75000000.0,116000000.0
us-gaap_LongTermLoansPayable,Loans payable and other financial liabilities,2887000000.0,2864000000.0,3484000000.0,3409000000.0
us-gaap_OperatingLeaseLiabilityNoncurrent,Operating lease liabilities,894000000.0,1009000000.0,1333000000.0,1636000000.0
us-gaap_DeferredIncomeTaxLiabilitiesNet,Deferred tax liabilities,204000000.0,270000000.0,293000000.0,341000000.0
us-gaap_OtherLiabilitiesNoncurrent,Other liabilities,216000000.0,406000000.0,300000000.0,449000000.0
us-gaap_LiabilitiesNoncurrent,Total non-current liabilities,4242000000.0,4613000000.0,5485000000.0,5951000000.0
us-gaap_Liabilities,Total liabilities,20845000000.0,22678000000.0,27235000000.0,30473000000.0
us-gaap_CommitmentsAndContingencies,Commitments and contingencies (Note 10),,,,
us-gaap_CommonStockValue,"Common stock, $0.001 par value, 110,000,000 shares authorized, 50,697,182 and 50,697,375 shares issued and outstanding",0.0,,,0.0
us-gaap_AdditionalPaidInCapital,Additional paid-in capital,1770000000.0,1770000000.0,1770000000.0,1771000000.0
us-gaap_TreasuryStockCommonValue,"Treasury stock, 225,931 and 225,474 shares",-311000000.0,,,-312000000.0
us-gaap_RetainedEarningsAccumulatedDeficit,Retained earnings,3812000000.0,4306000000.0,4829000000.0,5250000000.0
us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax,Accumulated other comprehensive loss,-920000000.0,-761000000.0,-575000000.0,-491000000.0
us-gaap_StockholdersEquity,Total equity,4351000000.0,5004000000.0,5713000000.0,6218000000.0
us-gaap_LiabilitiesAndStockholdersEquity,Total liabilities and equity,25196000000.0,27682000000.0,32948000000.0,36691000000.0
us-gaap_NotesAndLoansReceivableNetNoncurrent,"Loans receivable, net of allowances of $53 and $48",179000000.0,225000000.0,,
us-gaap_NotesAndLoansReceivableNetCurrent,"Loans receivable, net of allowances of $2,413 and $1,630",4716000000.0,,6607000000.0,
us-gaap_NotesAndLoansReceivableNetCurrent,"Loans receivable, net of allowances of $2,001 and $1,630",4716000000.0,5501000000.0,,
us-gaap_TreasuryStockCommonValue,Treasury stock,-311000000.0,-311000000.0,-311000000.0,
us-gaap_CommonStockValue,"Common stock, $0.001 par value, 110,000,000 shares authorized, 50,697,375 shares issued and outstanding",0.0,0.0,0.0,
us-gaap_NotesAndLoansReceivableNetNoncurrent,"Loans receivable, net of allowances of $50 and $48",179000000.0,,277000000.0,
