concept,label,2025-07-31,2025-10-31,2026-01-31
us-gaap_CashAndCashEquivalentsAtCarryingValue,Cash and cash equivalents,2389023000.0,1338195000.0,1202751000.0
us-gaap_DebtSecuritiesAvailableForSaleExcludingAccruedInterestCurrent,Short-term investments,1183386000.0,1983077000.0,2310000000.0
us-gaap_AccountsReceivableNetCurrent,"Accounts receivable, net",992181000.0,530487000.0,551820000.0
us-gaap_CapitalizedContractCostNetCurrent,Deferred contract acquisition costs,180819000.0,182563000.0,188696000.0
us-gaap_PrepaidExpenseAndOtherAssetsCurrent,Prepaid expenses and other current assets,148881000.0,171639000.0,197496000.0
us-gaap_AssetsCurrent,Total current assets,4894290000.0,4205961000.0,4450763000.0
us-gaap_PropertyPlantAndEquipmentNet,"Property and equipment, net",543377000.0,542255000.0,544623000.0
us-gaap_OperatingLeaseRightOfUseAsset,Operating lease right-of-use assets,89772000.0,127457000.0,138333000.0
us-gaap_CapitalizedContractCostNetNoncurrent,"Deferred contract acquisition costs, noncurrent",328722000.0,322556000.0,330608000.0
us-gaap_FiniteLivedIntangibleAssetsNet,"Acquired intangible assets, net",47323000.0,215290000.0,193376000.0
us-gaap_Goodwill,Goodwill,417730000.0,994463000.0,1001401000.0
us-gaap_OtherAssetsNoncurrent,Other noncurrent assets,98674000.0,95105000.0,94724000.0
us-gaap_Assets,Total assets,6419888000.0,6503087000.0,6753828000.0
us-gaap_AccountsPayableCurrent,Accounts payable,46906000.0,48400000.0,29031000.0
zs_AccruedLiabilitiesAndOtherLiabilitiesCurrent,Accrued expenses and other current liabilities,93984000.0,107510000.0,100264000.0
us-gaap_EmployeeRelatedLiabilitiesCurrent,Accrued compensation,181807000.0,135234000.0,160515000.0
us-gaap_ContractWithCustomerLiabilityCurrent,Deferred revenue,2054417000.0,1946191000.0,1983569000.0
us-gaap_OperatingLeaseLiabilityCurrent,Operating lease liabilities,52497000.0,68399000.0,67587000.0
us-gaap_LiabilitiesCurrent,Total current liabilities,2429611000.0,2305734000.0,2340966000.0
us-gaap_ConvertibleLongTermNotesPayable,Convertible senior notes,1700727000.0,1699871000.0,1702718000.0
us-gaap_ContractWithCustomerLiabilityNoncurrent,"Deferred revenue, noncurrent",413609000.0,405113000.0,371786000.0
us-gaap_OperatingLeaseLiabilityNoncurrent,"Operating lease liabilities, noncurrent",43352000.0,65771000.0,94083000.0
us-gaap_OtherLiabilitiesNoncurrent,Other noncurrent liabilities,33316000.0,44270000.0,48327000.0
us-gaap_Liabilities,Total liabilities,4620615000.0,4520759000.0,4557880000.0
us-gaap_CommitmentsAndContingencies,Commitments and contingencies (Note 12),,,
us-gaap_PreferredStockValue,"Preferred stock; $0.001 par value; 200,000 shares authorized as of January 31, 2026 and July 31, 2025; no shares issued and outstanding as of January 31, 2026 and July 31, 2025",0.0,,0.0
us-gaap_CommonStockValue,"Common stock; $0.001 par value; 1,000,000 shares authorized as of January 31, 2026 and July 31, 2025; 160,570 and 158,301 shares issued and outstanding as of January 31, 2026 and July 31, 2025, respectively",159000.0,,161000.0
us-gaap_AdditionalPaidInCapital,Additional paid-in capital,2980591000.0,3175453000.0,3416085000.0
us-gaap_AccumulatedOtherComprehensiveIncomeLossNetOfTax,Accumulated other comprehensive income,8081000.0,7889000.0,15187000.0
us-gaap_RetainedEarningsAccumulatedDeficit,Accumulated deficit,-1189558000.0,-1201173000.0,-1235485000.0
us-gaap_StockholdersEquity,Total stockholders’ equity,1799273000.0,1982328000.0,2195948000.0
us-gaap_LiabilitiesAndStockholdersEquity,Total liabilities and stockholders’ equity,6419888000.0,6503087000.0,6753828000.0
us-gaap_CommonStockValue,"Common stock; $0.001 par value; 1,000,000 shares authorized as of October 31, 2025 and July 31, 2025; 159,468 and 158,301 shares issued and outstanding as of October 31, 2025 and July 31, 2025, respectively",159000.0,159000.0,
us-gaap_PreferredStockValue,"Preferred stock; $0.001 par value; 200,000 shares authorized as of October 31, 2025 and July 31, 2025; no shares issued and outstanding as of October 31, 2025 and July 31, 2025",0.0,0.0,
